init,max_iter,n_clusters,n_init,Silhouette
k-means++,300,2,10,0.14645141590326044
k-means++,300,2,20,0.14645141590326044
k-means++,300,2,30,0.14645141590326044
random,300,2,30,0.14645141590326044
random,300,2,20,0.14645141590326044
k-means++,500,2,20,0.14645141590326044
k-means++,500,2,30,0.14645141590326044
k-means++,500,2,10,0.14645141590326044
random,500,2,30,0.14645141590326044
random,500,2,20,0.14645141590326044
random,500,2,10,0.14609113125935544
random,300,2,10,0.14609113125935544
k-means++,300,3,10,0.1110376817750041
random,500,3,10,0.1110376817750041
k-means++,300,3,30,0.1110376817750041
k-means++,300,3,20,0.1110376817750041
random,300,3,30,0.1110376817750041
random,300,3,10,0.1110376817750041
random,500,3,20,0.1110376817750041
random,500,3,30,0.1110376817750041
random,300,3,20,0.1110376817750041
k-means++,500,3,20,0.1110376817750041
k-means++,500,3,30,0.1110376817750041
k-means++,500,3,10,0.1110376817750041
k-means++,300,4,20,0.09564675372994474
k-means++,300,4,10,0.09564675372994474
k-means++,500,4,20,0.09564675372994474
k-means++,500,4,10,0.09564675372994474
k-means++,300,4,30,0.09536078210025437
k-means++,500,4,30,0.09536078210025437
random,500,4,30,0.0953602306187651
random,300,4,30,0.0953602306187651
random,500,4,10,0.0953602306187651
random,500,4,20,0.0953602306187651
random,300,4,20,0.0953602306187651
random,300,4,10,0.0953602306187651
random,300,5,10,0.08241568679236509
random,300,5,20,0.08241568679236509
random,500,5,10,0.08241568679236509
random,500,5,20,0.08241568679236509
k-means++,300,5,10,0.08240580578766954
k-means++,300,5,30,0.08240580578766954
k-means++,500,5,20,0.08240580578766954
k-means++,500,5,30,0.08240580578766954
k-means++,500,5,10,0.08240580578766954
k-means++,300,5,20,0.08240580578766954
random,300,5,30,0.08237224343276824
random,500,5,30,0.08237224343276824
k-means++,300,6,30,0.08135165786758093
k-means++,500,6,20,0.08135165786758093
k-means++,300,6,20,0.08135165786758093
k-means++,300,6,10,0.08135165786758093
k-means++,500,6,10,0.08135165786758093
k-means++,500,6,30,0.08135165786758093
random,300,6,30,0.08072137615477655
random,300,6,20,0.08072137615477655
random,500,6,20,0.08072137615477655
random,500,6,30,0.08072137615477655
random,500,6,10,0.0807003234058577
random,300,6,10,0.0807003234058577
k-means++,500,7,10,0.07322419090920688
k-means++,300,7,10,0.07322419090920688
random,300,7,10,0.07320744217529036
random,300,7,30,0.07320744217529036
random,300,7,20,0.07320744217529036
random,500,7,10,0.07320744217529036
random,500,7,20,0.07320744217529036
random,500,7,30,0.07320744217529036
k-means++,300,7,20,0.07316350162408734
k-means++,500,7,20,0.07316350162408734
k-means++,500,7,30,0.07284530668644457
k-means++,300,7,30,0.07284530668644457
